run_name,run_id,url,state,created,sweep,game,algorithm,no_gaze,seed,lambda_gaze,gaze_loss_layers,gaze_loss_heads,gaze_loss_mode,loading_method,epochs,test_best_mean_return,test_final_mean_return,eval_mean_return,final_epoch
AuxGazeFactorizedViViT_Alien_seed-100_c4d3b66dc54a_20260305-231137,c4d3b66dc54a,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/c4d3b66dc54a,finished,2026-03-04T04:24:35Z,8-seed,Alien,AuxGazeFactorizedViViT,False,100,0.5,,,kl_then_mean,gabril,500,1119.1,1007.1,994.4,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-100_2325eb950d09_20260315-115032,2325eb950d09,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/2325eb950d09,finished,2026-03-13T17:13:26Z,8-seed,Alien,AuxGazeFactorizedViViT,True,100,0.5,,,mean_then_kl,gabril,500,1028.5,1052.6,1143.1,499
AuxGazeFactorizedViViT_Alien_seed-101_74dd00b49a7a_20260305-235358,74dd00b49a7a,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/74dd00b49a7a,finished,2026-03-04T05:08:12Z,8-seed,Alien,AuxGazeFactorizedViViT,False,101,0.5,,,kl_then_mean,gabril,500,1598.3,1629.2,1565.8,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-101_f8bd32e41bdf_20260315-115811,f8bd32e41bdf,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/f8bd32e41bdf,finished,2026-03-13T17:24:06Z,8-seed,Alien,AuxGazeFactorizedViViT,True,101,0.5,,,mean_then_kl,gabril,500,987.4,219.7,272.9,499
AuxGazeFactorizedViViT_Alien_seed-102_83f60b036be4_20260305-235358,83f60b036be4,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/83f60b036be4,finished,2026-03-04T05:08:12Z,8-seed,Alien,AuxGazeFactorizedViViT,False,102,0.5,,,kl_then_mean,gabril,500,1303.2,1131,1298.9,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-102_f8e02298ca37_20260315-123051,f8e02298ca37,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/f8e02298ca37,finished,2026-03-13T18:42:19Z,8-seed,Alien,AuxGazeFactorizedViViT,True,102,0.5,,,mean_then_kl,gabril,500,1295,1335.7,1312.9,499
AuxGazeFactorizedViViT_Alien_seed-103_ca557c2393e6_20260306-015043,ca557c2393e6,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/ca557c2393e6,finished,2026-03-04T06:54:26Z,8-seed,Alien,AuxGazeFactorizedViViT,False,103,0.5,,,kl_then_mean,gabril,500,1351.6,1311,1274.7,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-103_386b07d22cb3_20260315-132436,386b07d22cb3,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/386b07d22cb3,finished,2026-03-13T19:46:25Z,8-seed,Alien,AuxGazeFactorizedViViT,True,103,0.5,,,mean_then_kl,gabril,500,798.2,747.9,704.1,499
AuxGazeFactorizedViViT_Alien_seed-104_eb060d485d1d_20260306-015144,eb060d485d1d,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/eb060d485d1d,finished,2026-03-04T07:25:56Z,8-seed,Alien,AuxGazeFactorizedViViT,False,104,0.5,,,kl_then_mean,gabril,500,1311.2,1328.7,1349.1,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-104_d14c35fa112d_20260315-132510,d14c35fa112d,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/d14c35fa112d,finished,2026-03-13T20:16:34Z,8-seed,Alien,AuxGazeFactorizedViViT,True,104,0.5,,,mean_then_kl,gabril,500,1050.4,1132.8,1056.7,499
AuxGazeFactorizedViViT_Alien_seed-105_c8e526a08e7c_20260306-020942,c8e526a08e7c,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/c8e526a08e7c,finished,2026-03-04T07:26:28Z,8-seed,Alien,AuxGazeFactorizedViViT,False,105,0.5,,,kl_then_mean,gabril,500,1730.5,1840.2,1979.2,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-105_8aac15b4e40b_20260315-133218,8aac15b4e40b,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/8aac15b4e40b,finished,2026-03-13T20:17:29Z,8-seed,Alien,AuxGazeFactorizedViViT,True,105,0.5,,,mean_then_kl,gabril,500,1327.4,685.9,697.6,499
AuxGazeFactorizedViViT_Alien_seed-106_ebc8323d01b2_20260306-022807,ebc8323d01b2,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/ebc8323d01b2,finished,2026-03-04T08:15:30Z,8-seed,Alien,AuxGazeFactorizedViViT,False,106,0.5,,,kl_then_mean,gabril,500,1888.1,1813.2,1907,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-106_32afebeca080_20260315-141254,32afebeca080,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/32afebeca080,finished,2026-03-13T21:58:20Z,8-seed,Alien,AuxGazeFactorizedViViT,True,106,0.5,,,mean_then_kl,gabril,500,1201.3,1127.9,1219.8,499
AuxGazeFactorizedViViT_Alien_seed-107_b6e963b99f33_20260306-024352,b6e963b99f33,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/b6e963b99f33,finished,2026-03-04T08:23:28Z,8-seed,Alien,AuxGazeFactorizedViViT,False,107,0.5,,,kl_then_mean,gabril,500,1480.7,1176.1,1251.3,499
AuxGazeFactorizedViViT_NoGaze_Alien_seed-107_eb840208f733_20260315-151325,eb840208f733,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/eb840208f733,finished,2026-03-13T22:00:23Z,8-seed,Alien,AuxGazeFactorizedViViT,True,107,0.5,,,mean_then_kl,gabril,500,997.7,381.5,345.9,499
FactorizedViViT_Alien_seed-100_ffa0612f7ba2_20260305-180719,ffa0612f7ba2,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/ffa0612f7ba2,finished,2026-03-04T02:01:25Z,8-seed,Alien,FactorizedViViT,False,100,0.5,,,kl_then_mean,gabril,500,1620.6,1353.5,1376.1,499
FactorizedViViT_NoGaze_Alien_seed-100_7ca6e2c2b1f0_20260315-091259,7ca6e2c2b1f0,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/7ca6e2c2b1f0,finished,2026-03-13T05:06:27Z,8-seed,Alien,FactorizedViViT,True,100,0.5,,,mean_then_kl,gabril,500,1701.6,651.1,649.2,499
FactorizedViViT_Alien_seed-101_9c73e59c6d90_20260305-195835,9c73e59c6d90,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/9c73e59c6d90,finished,2026-03-04T02:00:37Z,8-seed,Alien,FactorizedViViT,False,101,0.5,,,kl_then_mean,gabril,500,1431.8,1425,1458.4,499
FactorizedViViT_NoGaze_Alien_seed-101_671e99d764a7_20260315-093542,671e99d764a7,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/671e99d764a7,finished,2026-03-13T08:14:14Z,8-seed,Alien,FactorizedViViT,True,101,0.5,,,mean_then_kl,gabril,500,1167.1,1211.3,1262.4,499
FactorizedViViT_Alien_seed-102_5a47d881f0b7_20260305-200526,5a47d881f0b7,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/5a47d881f0b7,finished,2026-03-04T02:00:12Z,8-seed,Alien,FactorizedViViT,False,102,0.5,,,kl_then_mean,gabril,500,1234,1192.6,1370.1,499
FactorizedViViT_NoGaze_Alien_seed-102_06d45da85c82_20260315-103122,06d45da85c82,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/06d45da85c82,finished,2026-03-13T10:29:59Z,8-seed,Alien,FactorizedViViT,True,102,0.5,,,mean_then_kl,gabril,500,688.1,655.9,764.3,499
FactorizedViViT_Alien_seed-103_eea36bdb9b28_20260305-202145,eea36bdb9b28,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/eea36bdb9b28,finished,2026-03-04T02:00:12Z,8-seed,Alien,FactorizedViViT,False,103,0.5,,,kl_then_mean,gabril,500,1454.5,1725.7,1613.7,499
FactorizedViViT_NoGaze_Alien_seed-103_666a2d554861_20260315-103423,666a2d554861,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/666a2d554861,finished,2026-03-13T10:38:44Z,8-seed,Alien,FactorizedViViT,True,103,0.5,,,mean_then_kl,gabril,500,770.9,414.3,565.6,499
FactorizedViViT_Alien_seed-104_ab8ea0b05799_20260305-205620,ab8ea0b05799,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/ab8ea0b05799,finished,2026-03-04T02:00:12Z,8-seed,Alien,FactorizedViViT,False,104,0.5,,,kl_then_mean,gabril,500,1350.4,1157.9,1197.8,499
FactorizedViViT_NoGaze_Alien_seed-104_05161a3e1ca5_20260315-103954,05161a3e1ca5,https://wandb.ai/papaya147-ml/ViViT-GABRIL-Atari/runs/05161a3e1ca5,finished,2026-03-13T12:17:35Z,8-seed,Alien,FactorizedViViT,True,104,0.5,,,mean_then_kl,gabril,500,1237,1250.2,1273.3,499
